ARU,Lat,Long,"Forest, Grassland,",Isolated or Embedded,Public or Private,Township Lat,Township Long
07618,45.628157,-95.535402,F,I,Private,45.6144905,-95.5311866
09263,43.53593,-94.52342,G,I,Private,43.5150682,-94.512421
09271,44.898469,-92.797523,F,E,Private,44.9027653,-92.7832304
09287,43.570668,-91.931477,G,I,Private,43.544105,-91.9296101
09290,43.9154,-95.9678,G,E,Private,43.9298015,-95.9463585
09319,44.682471,-96.32073,G,E,Private,44.6743316,-96.2767301
09322,46.030959,-92.513023,F,E,Private,46.0123124,-92.488194
09324,43.972236,-94.076487,G,I,Private,43.9460266,-94.0786263
09335,43.580653,-91.841783,F,I,Private,43.5727087,-91.8824603
09338,44.0846,-95.0101,G,E,Private,44.0644243,-95.000072
09355,44.405432,-92.959371,F,E,Private,44.406859,-92.9998964
09358,43.67873041,-96.32399016,G,I,Private,43.6303483,-96.2924756
09361,44.531493,-92.438761,F,E,Private,44.5346099,-92.4162135
09369,43.9033799,-91.4082767,G,I,Private,43.9226136,-91.4004799
09371,44.80208,-93.759976,F,I,Private,44.8184551,-93.7601723
09374,44.561938,-92.476732,F,E,Private,44.5590594,-92.4921413
09375,44.157036,-92.506016,F,E,Private,44.150404,-92.5304623
09376,44.935591,-92.787863,G,I,Private,44.954758,-92.7967472
09378,43.702808,-92.056537,G,I,Private,43.6868665,-92.0699943
09379,44.1064,-92.4974,G,I,Private,44.1040757,-92.5138387
09380,44.104004,-93.940777,F,E,Private,44.1090985,-93.958861
09383,45.6412515,-92.9774609,G,I,Private,45.6299948,-92.9922734
09385,43.9021,-96.0378,G,E,Private,43.8923738,-96.0041146
09389,44.351569,-93.471122,G,E,Private,44.3849167,-93.484218
09392,43.96617778,-91.46201389,F,E,Private,43.9758002,-91.4275727
09397,44.013621,-94.057897,G,I,Private,44.0047956,-94.0674094
09398,43.87028,-95.71531,G,I,Private,43.8917591,-95.7438286
09399,44.2060573,-93.9116719,F,I,Private,44.1751248,-93.9230671
09402,45.32327458,-96.37807616,G,I,Private,45.3125741,-96.4000708
09403,44.47544,-93.798033,F,I,Private,44.442347,-93.7985158
09404,44.103567,-92.561862,F,I,Private,44.1084385,-92.5883888
09410,43.820784,-93.475877,F,I,Private,43.8036695,-93.4812986
09411,44.4947308,-92.7594147,F,E,Private,44.5068622,-92.7763265
09412,44.0604,-94.3305,G,E,Private,44.0871217,-94.3291528
09414,43.96174,-94.84693,G,E,Private,43.9492907,-94.8391833
09416,43.608579,-92.31795,F,E,Private,43.6020913,-92.3494861
09418,43.785778,-91.742103,F,E,Private,43.7876711,-91.7210961
09422,45.158826,-95.152438,G,I,Private,45.1478732,-95.1772007
09423,45.324946,-92.780174,F,E,Private,45.3321769,-92.8041187
09425,44.046321,-92.087684,F,E,Private,44.0564208,-92.0990569
09428,44.93502,-92.80369,F,E,Private,44.9508347,-92.810196
09430,43.992214,-94.568516,F,I,Private,43.9777607,-94.5871196
09432,43.59121861,-91.82767926,F,E,Private,43.602886,-91.7896244
09434,43.766066,-92.834654,G,I,Private,43.7408132,-92.8693248
09439,44.124149,-93.65317,F,I,Private,44.111544,-93.6674371
09440,45.425519,-93.785014,F,E,Private,45.4296225,-93.819296
09441,43.752597,-92.038317,F,E,Private,43.7711838,-92.0293429
09447,43.971394,-93.955994,F,I,Private,43.9277147,-93.9584774
09448,44.619275,-93.793157,F,I,Private,44.624041,-93.7957346
09451,44.957494,-93.426027,F,I,Private,44.9648988,-93.4006711
09452,45.3250785,-96.3445113,G,E,Private,45.3126607,-96.3030637
09453,43.946229,-91.444965,F,E,Private,43.9224171,-91.4503836
