Branta canadensis,Canada Goose ,Waterfowl and Wading Birds,https://www.allaboutbirds.org/guide/Canada_Goose/
Cygnus buccinator,Trumpeter Swan ,Waterfowl and Wading Birds,https://www.allaboutbirds.org/guide/Trumpeter_Swan
Aix sponsa,Wood Duck ,Waterfowl and Wading Birds,https://www.allaboutbirds.org/guide/wood_duck
Anas strepera,Gadwall ,Waterfowl and Wading Birds,https://www.allaboutbirds.org/guide/gadwall
Anas americana,American Wigeon ,Waterfowl and Wading Birds,https://www.allaboutbirds.org/guide/American_Wigeon
Anas rubripes,American Black Duck ,Waterfowl and Wading Birds,https://www.allaboutbirds.org/guide/American_Black_Duck
Anas platyrhynchos,Mallard ,Waterfowl and Wading Birds,https://www.allaboutbirds.org/guide/mallard
Anas discors,Blue-winged Teal ,Waterfowl and Wading Birds,https://www.allaboutbirds.org/guide/Blue-winged_Teal
Anas clypeata,Northern Shoveler ,Waterfowl and Wading Birds,https://www.allaboutbirds.org/guide/Northern_Shoveler
Anas acuta,Northern Pintail ,Waterfowl and Wading Birds,https://www.allaboutbirds.org/guide/Northern_Pintail
Anas crecca,Green-winged Teal ,Waterfowl and Wading Birds,https://www.allaboutbirds.org/guide/Green-winged_Teal
Aythya valisineria,Canvasback ,Waterfowl and Wading Birds,https://www.allaboutbirds.org/guide/Canvasback
Aythya americana,Redhead ,Waterfowl and Wading Birds,https://www.allaboutbirds.org/guide/Redhead
Aythya collaris,Ring-necked Duck ,Waterfowl and Wading Birds,https://www.allaboutbirds.org/guide/Ring-necked_Duck
Aythya affinis,Lesser Scaup ,Waterfowl and Wading Birds,https://www.allaboutbirds.org/guide/Lesser_Scaup
Bucephala albeola,Bufflehead ,Waterfowl and Wading Birds,https://www.allaboutbirds.org/guide/Bufflehead
Bucephala clangula,Common Goldeneye ,Waterfowl and Wading Birds,https://www.allaboutbirds.org/guide/Common_Goldeneye
