Site,Average_Detections_Per_Day
09370,838.8913043478261
09366,1380.3636363636363
16577,555.6136363636364
09391,762.4468085106383
12838,1133.595744680851
16504,1320.3695652173913
16493,1516.3157894736842
16512,1276.723404255319
12753,797.8297872340426
09396,1417.4130434782608
09400,2236.978723404255
09844,1473.8510638297873
16591,1144.468085106383
16514,1320.936170212766
16502,1519.9148936170213
09887,1902.0851063829787
12865,1912.0869565217392
09429,1548.4255319148936
16505,2380.595744680851
16509,3038.3809523809523
16513,2204.191489361702
16500,1753.276595744681
09449,1432.0
09801,1091.8297872340424
09742,1377.6170212765958
16592,1976.127659574468
09420,1757.2340425531916
09362,2306.8478260869565
16662,2747.063829787234
09350,1849.0238095238096
09431,988.1304347826087
16583,2247.531914893617
16599,774.531914893617
09276,2726.9574468085107
14687,2809.255319148936
09364,1407.0652173913043
09413,2984.409090909091
09372,1052.2340425531916
12666,1615.936170212766
16510,1236.936170212766
16601,853.1914893617021
16506,2438.3617021276596
14256,2859.553191489362
16593,1755.787234042553
09437,1150.3260869565217
09363,604.3636363636364
