Common Name,Confidence,"Number of Instances, 60% Confidence","Number of Instances, 65% Confidence","Number of Instances, 70% Confidence","Number of Instances, 75% Confidence","Number of Instances, 80% Confidence","Number of Instances, 85% Confidence","Number of Instances, 90% Confidence","Number of Instances, 95% Confidence",Total Instances,Rare,List of Datetimes
Alder Flycatcher,0.6614,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,TBD,no,"[['20250518_082502', 1], ['20250522_062102', 1], ['20250603_081302', 1], ['20250604_061302', 1], ['20250617_071102', 1], ['20250627_204800', 1]]"
American Bittern,0.9465,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TBD,no,"[['20250521_052200', 1]]"
American Crow,0.9513,0.0,0.0,0.0,0.0,7.0,23.0,26.0,180.0,TBD,no,"[['20250517_062602', 2], ['20250518_072502', 1], ['20250518_082502', 16], ['20250519_052400', 1], ['20250519_062402', 1], ['20250520_062302', 1], ['20250521_062202', 14], ['20250521_072202', 1], ['20250521_082202', 6], ['20250522_062102', 11], ['20250522_072102', 1], ['20250522_082102', 2], ['20250523_052100', 4], ['20250523_062102', 1], ['20250526_051800', 10], ['20250527_051700', 1], ['20250527_071702', 1], ['20250528_071702', 1], ['20250528_081702', 11], ['20250530_051500', 2], ['20250530_071502', 21], ['20250530_081502', 3], ['20250531_051500', 1], ['20250531_071502', 1], ['20250601_061402', 1], ['20250601_071402', 13], ['20250601_081402', 1], ['20250602_071402', 1], ['20250603_081302', 1], ['20250604_081302', 44], ['20250606_081202', 23], ['20250607_081202', 3], ['20250608_061102', 1], ['20250608_071102', 1], ['20250610_061102', 6], ['20250612_204500', 4], ['20250618_061102', 3], ['20250619_051100', 10], ['20250623_051200', 1], ['20250624_061202', 1], ['20250624_081202', 3], ['20250625_081202', 1], ['20250627_204800', 2], ['20250630_051500', 2]]"
American Goldfinch,0.9985,0.0,0.0,0.0,0.0,0.0,55.0,162.0,1587.0,TBD,no,"[['20250515_052800', 1], ['20250515_072802', 2], ['20250517_062602', 2], ['20250518_082502', 1], ['20250519_052400', 1], ['20250519_062402', 1], ['20250521_082202', 2], ['20250522_062102', 3], ['20250522_072102', 2], ['20250522_082102', 1], ['20250523_052100', 3], ['20250523_062102', 1], ['20250523_072102', 15], ['20250523_082102', 15], ['20250524_052000', 35], ['20250524_062002', 111], ['20250524_072002', 49], ['20250524_082002', 77], ['20250525_051900', 33], ['20250525_061902', 62], ['20250525_071902', 39], ['20250525_081902', 43], ['20250526_051800', 24], ['20250526_061802', 69], ['20250526_071802', 28], ['20250526_081802', 15], ['20250527_051700', 2], ['20250527_061702', 25], ['20250527_071702', 110], ['20250527_081702', 14], ['20250528_051700', 1], ['20250528_061702', 50], ['20250528_071702', 8], ['20250528_081702', 195], ['20250529_051600', 9], ['20250529_061602', 104], ['20250529_071602', 20], ['20250529_081602', 4], ['20250530_051500', 5], ['20250530_061502', 2], ['20250530_071502', 4], ['20250531_051500', 1], ['20250531_071502', 41], ['20250531_081502', 3], ['20250601_051400', 2], ['20250601_061402', 2], ['20250601_071402', 11], ['20250601_081402', 1], ['20250602_061402', 3], ['20250602_071402', 1], ['20250602_203800', 1], ['20250604_061302', 9], ['20250604_071302', 1], ['20250605_051200', 4], ['20250605_061202', 2], ['20250605_071202', 7], ['20250606_051200', 12], ['20250606_061202', 31], ['20250606_071202', 15], ['20250606_081202', 9], ['20250607_051200', 14], ['20250607_061202', 3], ['20250607_071202', 9], ['20250607_081202', 2], ['20250608_061102', 20], ['20250608_071102', 17], ['20250609_081102', 2], ['20250610_061102', 7], ['20250610_081102', 2], ['20250611_061102', 1], ['20250611_071102', 3], ['20250611_081102', 1], ['20250612_071102', 1], ['20250612_081102', 5], ['20250613_071102', 1], ['20250613_081102', 8], ['20250614_081002', 7], ['20250615_061002', 2], ['20250615_071002', 10], ['20250615_081002', 6], ['20250616_051000', 3], ['20250616_061002', 1], ['20250616_071002', 1], ['20250616_081002', 5], ['20250617_051100', 2], ['20250617_061102', 21], ['20250617_071102', 26], ['20250617_081102', 5], ['20250618_061102', 35], ['20250618_071102', 2], ['20250618_081102', 1], ['20250619_061102', 1], ['20250619_071102', 5], ['20250619_081102', 22], ['20250620_061102', 1], ['20250620_071102', 2], ['20250623_061202', 7], ['20250623_071202', 37], ['20250623_081202', 32], ['20250624_051200', 8], ['20250624_061202', 3], ['20250624_071202', 39], ['20250625_061202', 5], ['20250625_071202', 5], ['20250625_081202', 2], ['20250626_051300', 1], ['20250626_061302', 4], ['20250626_071302', 39], ['20250626_081302', 4], ['20250628_051400', 1], ['20250628_061402', 1], ['20250629_081402', 3], ['20250630_051500', 1], ['20250630_061502', 2], ['20250630_071502', 9], ['20250630_081502', 3]]"
American Kestrel,0.9998,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,TBD,no,"[['20250530_071502', 3], ['20250604_051300', 1], ['20250615_204600', 1], ['20250621_061102', 2]]"
American Pipit,0.9822,,,,,,,,,4,yes,"[['20250519_082402', 4]]"
American Robin,0.9890,0.0,0.0,0.0,0.0,0.0,0.0,208.0,1003.0,TBD,no,"[['20250515_062802', 1], ['20250515_082802', 3], ['20250517_072602', 1], ['20250518_062502', 1], ['20250518_072502', 4], ['20250518_082502', 3], ['20250519_052400', 2], ['20250521_052200', 1], ['20250521_072202', 2], ['20250521_082202', 5], ['20250522_082102', 1], ['20250524_052000', 4], ['20250524_082002', 4], ['20250526_051800', 1], ['20250526_071802', 2], ['20250526_081802', 1], ['20250527_051700', 2], ['20250527_061702', 1], ['20250527_081702', 2], ['20250528_071702', 2], ['20250529_061602', 1], ['20250529_081602', 4], ['20250530_061502', 7], ['20250530_071502', 3], ['20250531_061502', 2], ['20250531_071502', 1], ['20250601_203700', 17], ['20250602_051400', 1], ['20250602_071402', 3], ['20250602_203800', 31], ['20250603_203900', 148], ['20250604_061302', 5], ['20250604_071302', 2], ['20250604_081302', 3], ['20250604_204000', 179], ['20250606_081202', 1], ['20250606_204100', 183], ['20250607_204200', 33], ['20250608_204300', 59], ['20250609_051100', 2], ['20250609_204300', 56], ['20250610_204400', 2], ['20250611_204400', 26], ['20250612_204500', 12], ['20250613_204500', 34], ['20250614_204600', 7], ['20250615_204600', 16], ['20250617_204700', 63], ['20250618_204700', 21], ['20250623_051200', 4], ['20250623_204800', 16], ['20250623_214802', 13], ['20250624_204800', 48], ['20250625_204800', 78], ['20250626_204800', 4], ['20250627_071302', 1], ['20250627_204800', 44], ['20250628_204800', 3], ['20250629_204800', 23], ['20250629_214802', 1], ['20250630_204800', 9], ['20250630_214802', 2]]"
American Woodcock,0.6550,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,TBD,no,"[['20250608_214302', 1]]"
Bald Eagle,0.8110,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TBD,no,"[['20250528_081702', 2]]"
Baltimore Oriole,0.9581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,TBD,no,"[['20250518_062502', 4], ['20250518_072502', 5], ['20250518_082502', 7], ['20250519_052400', 1], ['20250519_072402', 2], ['20250521_072202', 3], ['20250521_082202', 2], ['20250522_062102', 2], ['20250523_062102', 3], ['20250523_072102', 4], ['20250523_082102', 9], ['20250524_072002', 1], ['20250525_081902', 2], ['20250526_081802', 1], ['20250527_081702', 3], ['20250528_071702', 1], ['20250604_061302', 1], ['20250604_071302', 1], ['20250604_081302', 1], ['20250606_204100', 1], ['20250618_071102', 1]]"
Bank Swallow,0.9990,5.0,9.0,13.0,11.0,14.0,19.0,59.0,63.0,TBD,no,"[['20250522_062102', 1], ['20250522_082102', 8], ['20250523_072102', 4], ['20250523_082102', 3], ['20250524_062002', 8], ['20250524_072002', 3], ['20250525_061902', 1], ['20250525_071902', 3], ['20250525_081902', 6], ['20250526_071802', 5], ['20250526_081802', 2], ['20250527_081702', 2], ['20250528_081702', 2], ['20250529_071602', 6], ['20250529_081602', 13], ['20250530_081502', 4], ['20250531_061502', 13], ['20250531_071502', 8], ['20250531_081502', 15], ['20250604_071302', 15], ['20250604_081302', 6], ['20250604_204000', 1], ['20250605_061202', 5], ['20250605_071202', 2], ['20250606_061202', 1], ['20250606_081202', 2], ['20250607_071202', 1], ['20250608_061102', 3], ['20250608_071102', 6], ['20250610_081102', 4], ['20250611_051100', 1], ['20250611_061102', 1], ['20250611_071102', 3], ['20250611_081102', 10], ['20250612_051100', 2], ['20250615_081002', 1], ['20250615_204600', 1], ['20250617_071102', 1], ['20250618_051100', 7], ['20250618_061102', 1], ['20250619_061102', 2], ['20250619_071102', 2], ['20250621_071102', 1], ['20250628_061402', 5], ['20250628_071402', 1], ['20250628_204800', 1]]"
Barn Swallow,0.9932,0.0,0.0,0.0,7.0,10.0,15.0,15.0,115.0,TBD,no,"[['20250515_052800', 1], ['20250522_072102', 1], ['20250523_072102', 3], ['20250523_082102', 1], ['20250524_072002', 3], ['20250525_051900', 1], ['20250525_071902', 2], ['20250525_081902', 2], ['20250526_061802', 1], ['20250527_071702', 1], ['20250527_081702', 1], ['20250528_051700', 51], ['20250528_071702', 5], ['20250529_051600', 1], ['20250529_071602', 2], ['20250529_081602', 1], ['20250530_051500', 1], ['20250530_061502', 3], ['20250531_051500', 1], ['20250601_051400', 6], ['20250602_061402', 1], ['20250607_071202', 2], ['20250607_204200', 9], ['20250608_061102', 1], ['20250609_204300', 3], ['20250612_051100', 3], ['20250612_081102', 1], ['20250613_051100', 4], ['20250613_071102', 1], ['20250614_204600', 14], ['20250615_051000', 3], ['20250615_081002', 3], ['20250615_204600', 5], ['20250616_051000', 2], ['20250616_204700', 1], ['20250617_081102', 4], ['20250617_204700', 1], ['20250619_051100', 2], ['20250619_071102', 4], ['20250621_061102', 1], ['20250624_051200', 1], ['20250626_051300', 2], ['20250626_061302', 2], ['20250629_051400', 2], ['20250629_204800', 1], ['20250630_051500', 1]]"
Barred Owl,0.9994,2.0,2.0,4.0,7.0,15.0,7.0,10.0,0.0,TBD,no,"[['20250602_213802', 1], ['20250604_214002', 5], ['20250606_214102', 21], ['20250608_204300', 4], ['20250611_214402', 5], ['20250618_214702', 4], ['20250623_204800', 1], ['20250623_214802', 2], ['20250624_214802', 2], ['20250630_214802', 2]]"
Bay-breasted Warbler,0.2536,,,,,,,,,NA,no,NA
Bell's Vireo,0.8218,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,TBD,no,"[['20250605_061202', 1], ['20250622_051100', 1], ['20250626_071302', 1], ['20250630_061502', 2]]"
Belted Kingfisher,0.3610,,,,,,,,,NA,no,NA
Black Tern,0.3860,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TBD,no,"[['20250522_062102', 1]]"
Black-and-white Warbler,0.7509,5.0,1.0,5.0,6.0,4.0,3.0,4.0,4.0,TBD,no,"[['20250515_052800', 1], ['20250515_082802', 1], ['20250517_062602', 1], ['20250518_062502', 1], ['20250519_072402', 1], ['20250519_082402', 1], ['20250524_062002', 8], ['20250525_061902', 2], ['20250525_071902', 1], ['20250526_071802', 1], ['20250526_081802', 2], ['20250527_081702', 1], ['20250601_061402', 1], ['20250602_081402', 1], ['20250604_204000', 1], ['20250606_204100', 1], ['20250623_204800', 2], ['20250624_204800', 5]]"
Black-billed Cuckoo,0.9975,3.0,1.0,1.0,0.0,1.0,5.0,4.0,0.0,TBD,no,"[['20250518_052500', 1], ['20250518_072502', 6], ['20250526_071802', 2], ['20250526_081802', 1], ['20250527_081702', 1], ['20250612_081102', 1], ['20250615_081002', 1], ['20250616_061002', 1], ['20250627_204800', 1]]"
Black-capped Chickadee,0.2963,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TBD,no,"[['20250529_071602', 1]]"
Black-crowned Night-Heron,0.9790,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,TBD,no,"[['20250604_214002', 1]]"
Blackpoll Warbler,0.6753,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,TBD,no,"[['20250530_061502', 1], ['20250613_061102', 1]]"
Blue Grosbeak,0.4877,,,,,,,,,NA,no,NA
Blue Jay,0.6554,0.0,0.0,0.0,0.0,4.0,18.0,24.0,139.0,TBD,no,"[['20250515_062802', 13], ['20250515_072802', 1], ['20250515_082802', 1], ['20250517_052600', 1], ['20250518_052500', 1], ['20250518_072502', 2], ['20250518_082502', 3], ['20250522_062102', 2], ['20250522_072102', 1], ['20250522_082102', 3], ['20250523_072102', 2], ['20250523_082102', 2], ['20250525_061902', 2], ['20250525_071902', 1], ['20250525_081902', 3], ['20250527_071702', 1], ['20250531_051500', 1], ['20250531_071502', 1], ['20250601_071402', 1], ['20250601_081402', 2], ['20250601_213702', 1], ['20250602_061402', 6], ['20250602_213802', 10], ['20250603_081302', 1], ['20250609_081102', 3], ['20250610_051100', 1], ['20250616_214702', 2], ['20250617_204700', 10], ['20250617_214702', 85], ['20250618_204700', 3], ['20250629_214802', 16], ['20250630_081502', 1], ['20250630_204800', 1], ['20250630_214802', 1]]"
Blue-gray Gnatcatcher,0.2501,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TBD,no,"[['20250616_051000', 1]]"
Blue-winged Warbler,0.5219,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,TBD,no,"[['20250524_062002', 1]]"
Bobolink,1.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7213.0,TBD,no,"[['20250515_052800', 3], ['20250515_062802', 1], ['20250518_082502', 4], ['20250519_062402', 2], ['20250519_082402', 2], ['20250522_052100', 2], ['20250522_072102', 2], ['20250522_082102', 3], ['20250523_052100', 2], ['20250523_082102', 1], ['20250524_052000', 249], ['20250524_062002', 222], ['20250524_072002', 420], ['20250524_082002', 280], ['20250525_051900', 158], ['20250525_061902', 236], ['20250525_071902', 328], ['20250525_081902', 221], ['20250526_051800', 142], ['20250526_061802', 185], ['20250526_071802', 301], ['20250526_081802', 329], ['20250527_051700', 72], ['20250527_061702', 241], ['20250527_071702', 327], ['20250527_081702', 247], ['20250528_051700', 128], ['20250528_061702', 269], ['20250528_071702', 191], ['20250528_081702', 136], ['20250529_051600', 70], ['20250529_061602', 195], ['20250529_071602', 184], ['20250529_081602', 160], ['20250530_051500', 84], ['20250530_061502', 47], ['20250531_051500', 5], ['20250531_061502', 86], ['20250531_071502', 224], ['20250531_081502', 106], ['20250601_051400', 8], ['20250601_061402', 4], ['20250601_081402', 2], ['20250601_203700', 1], ['20250602_051400', 77], ['20250602_061402', 28], ['20250602_071402', 7], ['20250602_081402', 7], ['20250603_061302', 3], ['20250604_051300', 4], ['20250604_081302', 1], ['20250604_204000', 1], ['20250605_051200', 10], ['20250606_061202', 39], ['20250606_071202', 2], ['20250606_081202', 22], ['20250607_051200', 4], ['20250607_061202', 1], ['20250607_071202', 4], ['20250607_204200', 3], ['20250608_051100', 2], ['20250608_061102', 2], ['20250608_071102', 1], ['20250608_081102', 1], ['20250608_204300', 2], ['20250609_081102', 1], ['20250609_204300', 2], ['20250610_051100', 2], ['20250610_061102', 3], ['20250610_071102', 8], ['20250610_081102', 1], ['20250611_051100', 2], ['20250611_071102', 4], ['20250611_081102', 1], ['20250611_204400', 1], ['20250612_051100', 3], ['20250612_081102', 2], ['20250613_051100', 4], ['20250613_061102', 3], ['20250613_071102', 2], ['20250614_051000', 2], ['20250614_061002', 2], ['20250614_071002', 14], ['20250614_081002', 1], ['20250614_204600', 3], ['20250615_051000', 6], ['20250615_061002', 5], ['20250615_071002', 5], ['20250615_081002', 2], ['20250616_051000', 3], ['20250616_081002', 5], ['20250616_204700', 1], ['20250617_051100', 2], ['20250617_061102', 5], ['20250617_071102', 2], ['20250617_081102', 171], ['20250617_204700', 4], ['20250618_051100', 50], ['20250618_061102', 119], ['20250618_071102', 87], ['20250618_081102', 81], ['20250618_204700', 2], ['20250619_051100', 3], ['20250619_071102', 57], ['20250619_204800', 1], ['20250620_051100', 4], ['20250620_071102', 1], ['20250621_051100', 1], ['20250621_081102', 1], ['20250622_061102', 1], ['20250623_051200', 16], ['20250623_061202', 6], ['20250623_071202', 1], ['20250623_081202', 3], ['20250623_204800', 1], ['20250624_051200', 13], ['20250624_071202', 11], ['20250624_081202', 5], ['20250624_204800', 1], ['20250625_051200', 10], ['20250625_061202', 2], ['20250625_071202', 2], ['20250625_081202', 1], ['20250625_204800', 3], ['20250626_051300', 20], ['20250626_061302', 7], ['20250626_071302', 5], ['20250626_081302', 5], ['20250627_051300', 23], ['20250627_061302', 10], ['20250627_071302', 9], ['20250627_081302', 2], ['20250627_204800', 6], ['20250628_051400', 8], ['20250628_061402', 59], ['20250628_071402', 3], ['20250628_081402', 93], ['20250628_204800', 1], ['20250629_051400', 21], ['20250629_081402', 27], ['20250630_051500', 15], ['20250630_061502', 4], ['20250630_071502', 1], ['20250630_081502', 35], ['20250630_204800', 3]]"
Broad-winged Hawk,0.3984,,,,,,,,,NA,no,NA
Brown Creeper,0.2647,,,,,,,,,NA,no,NA
Brown Thrasher,0.5732,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,TBD,no,"[['20250528_061702', 2]]"
Brown-headed Cowbird,0.9995,0.0,0.0,0.0,0.0,7.0,32.0,27.0,91.0,TBD,no,"[['20250518_082502', 1], ['20250519_082402', 1], ['20250522_052100', 1], ['20250522_062102', 1], ['20250522_072102', 1], ['20250523_052100', 2], ['20250523_062102', 2], ['20250524_052000', 1], ['20250524_062002', 1], ['20250524_082002', 1], ['20250525_071902', 1], ['20250526_071802', 2], ['20250526_081802', 1], ['20250527_051700', 2], ['20250527_071702', 2], ['20250528_071702', 2], ['20250528_081702', 1], ['20250529_051600', 2], ['20250529_061602', 1], ['20250529_081602', 1], ['20250530_051500', 1], ['20250530_061502', 1], ['20250530_071502', 2], ['20250531_051500', 4], ['20250531_061502', 1], ['20250531_071502', 1], ['20250601_051400', 2], ['20250601_061402', 1], ['20250601_081402', 1], ['20250604_061302', 1], ['20250604_081302', 3], ['20250605_051200', 3], ['20250606_061202', 1], ['20250606_081202', 1], ['20250607_051200', 2], ['20250607_061202', 1], ['20250608_204300', 1], ['20250609_071102', 1], ['20250609_081102', 1], ['20250610_051100', 4], ['20250610_081102', 1], ['20250611_051100', 3], ['20250611_061102', 2], ['20250611_071102', 2], ['20250612_071102', 1], ['20250612_081102', 2], ['20250613_061102', 1], ['20250613_071102', 14], ['20250615_071002', 5], ['20250615_081002', 10], ['20250616_081002', 1], ['20250617_051100', 2], ['20250617_071102', 1], ['20250617_081102', 2], ['20250618_081102', 1], ['20250619_051100', 1], ['20250619_061102', 2], ['20250619_071102', 1], ['20250623_071202', 1], ['20250624_204800', 1], ['20250625_071202', 1], ['20250626_051300', 1], ['20250626_061302', 2], ['20250626_071302', 1], ['20250626_081302', 3], ['20250627_071302', 1], ['20250627_081302', 3], ['20250628_051400', 4], ['20250628_061402', 11], ['20250628_081402', 11], ['20250629_081402', 1], ['20250630_061502', 2], ['20250630_071502', 2]]"
Canada Goose,0.9059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,TBD,no,"[['20250521_052200', 1], ['20250521_062202', 13], ['20250521_072202', 3], ['20250523_082102', 3], ['20250525_061902', 4], ['20250525_071902', 7], ['20250526_051800', 1], ['20250530_061502', 1], ['20250601_061402', 1], ['20250601_071402', 1], ['20250601_081402', 9], ['20250601_213702', 65], ['20250602_051400', 3], ['20250602_071402', 11], ['20250604_214002', 8], ['20250607_204200', 20], ['20250613_061102', 5]]"
Cedar Waxwing,0.9491,0.0,0.0,0.0,4.0,2.0,5.0,3.0,3.0,TBD,no,"[['20250524_052000', 1], ['20250526_071802', 1], ['20250530_061502', 1], ['20250605_071202', 1], ['20250606_071202', 1], ['20250609_081102', 1], ['20250610_061102', 2], ['20250610_071102', 1], ['20250613_081102', 1], ['20250614_051000', 1], ['20250615_051000', 1], ['20250616_061002', 1], ['20250617_051100', 1], ['20250617_071102', 1], ['20250620_051100', 1], ['20250624_051200', 1]]"
Chimney Swift,0.6141,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,TBD,no,"[['20250518_052500', 2], ['20250519_072402', 1]]"
Chipping Sparrow,0.4752,0.0,0.0,1.0,8.0,4.0,2.0,3.0,2.0,TBD,no,"[['20250518_052500', 1], ['20250518_082502', 1], ['20250519_082402', 1], ['20250524_062002', 1], ['20250526_061802', 1], ['20250526_081802', 1], ['20250527_061702', 1], ['20250527_081702', 1], ['20250528_071702', 1], ['20250531_071502', 1], ['20250606_071202', 1], ['20250624_061202', 1], ['20250626_081302', 1], ['20250627_061302', 2], ['20250627_071302', 1], ['20250628_051400', 1], ['20250629_061402', 1], ['20250630_051500', 1], ['20250630_081502', 1]]"
