Common Name,Confidence,"Number of Instances, 50% Confidence","Number of Instances, 55% Confidence","Number of Instances, 60% Confidence","Number of Instances, 65% Confidence","Number of Instances, 70% Confidence","Number of Instances, 75% Confidence","Number of Instances, 80% Confidence","Number of Instances, 85% Confidence","Number of Instances, 90% Confidence","Number of Instances, 95% Confidence",Total Instances,Rare
Alder Flycatcher,0.9360,3.0,0.0,2.0,1.0,4.0,1.0,4.0,1.0,6.0,17.0,TBD,no
American Bittern,0.9227,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,TBD,no
American Crow,0.9500,0.0,0.0,0.0,0.0,0.0,0.0,19.0,44.0,50.0,344.0,TBD,no
American Goldfinch,0.9716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,26.0,123.0,TBD,no
American Redstart,0.9203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,63.0,TBD,no
American Robin,0.9597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0,463.0,TBD,no
American Woodcock,0.6708,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,TBD,no
Bald Eagle,0.4018,,,,,,,,,,,NA,no
Baltimore Oriole,0.9890,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2899.0,TBD,no
Barn Swallow,0.9520,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,TBD,no
Barred Owl,0.9999,17.0,14.0,20.0,19.0,23.0,32.0,53.0,129.0,271.0,0.0,TBD,no
Bell's Vireo,0.8785,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,TBD,no
Belted Kingfisher,0.7913,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,TBD,no
Black Tern,0.3401,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TBD,no
Black-and-white Warbler,0.5302,0.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,0.0,TBD,no
Black-billed Cuckoo,0.9838,2.0,1.0,1.0,0.0,2.0,3.0,0.0,2.0,1.0,0.0,TBD,no
Black-capped Chickadee,0.9592,0.0,0.0,0.0,0.0,0.0,0.0,23.0,33.0,31.0,44.0,TBD,no
Black-crowned Night-Heron,0.4848,,,,,,,,,,,NA,no
Black-throated Blue Warbler,0.3606,,,,,,,,,,,NA,no
Black-throated Green Warbler,0.9375,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,TBD,no
Blackburnian Warbler,0.6730,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,TBD,no
Blackpoll Warbler,0.9861,0.0,0.0,0.0,0.0,0.0,0.0,10.0,33.0,47.0,76.0,TBD,no
Blue Grosbeak,0.4958,,,,,,,,,,,NA,no
Blue Jay,0.9512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,173.0,TBD,no
Blue-winged Warbler,0.5399,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,TBD,no
Bobolink,0.8292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,TBD,no
Broad-winged Hawk,0.8752,,,,,,,,,,,NA,no
Brown Creeper,0.3769,,,,,,,,,,,NA,no
Brown Thrasher,0.9798,12.0,11.0,8.0,9.0,13.0,13.0,7.0,10.0,6.0,7.0,TBD,no
Brown-headed Cowbird,0.9998,0.0,0.0,0.0,0.0,0.0,0.0,105.0,287.0,300.0,830.0,TBD,no
Canada Goose,0.9072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,TBD,no
Canada Warbler,0.3806,,,,,,,,,,,NA,no
Cedar Waxwing,0.9853,0.0,0.0,0.0,0.0,0.0,23.0,28.0,23.0,25.0,40.0,TBD,no
Chimney Swift,0.9605,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,TBD,no
Common Grackle,0.9675,0.0,0.0,0.0,0.0,0.0,0.0,19.0,20.0,27.0,54.0,TBD,no
Common Loon,0.5006,,,,,,,,,,,NA,no
Common Nighthawk,0.5295,,,,,,,,,,,NA,no
Common Raven,0.7470,2.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,TBD,no
Common Yellowthroat,0.7355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,TBD,no
Connecticut Warbler,0.8432,,,,,,,,,,,NA,no
Cooper's Hawk,0.2637,,,,,,,,,,,NA,no
Dickcissel,0.3116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TBD,no
Eastern Bluebird,0.9997,4.0,5.0,4.0,5.0,3.0,3.0,4.0,8.0,10.0,36.0,TBD,no
Eastern Kingbird,0.9993,0.0,0.0,0.0,0.0,0.0,0.0,173.0,350.0,388.0,634.0,TBD,no
Eastern Meadowlark,0.7780,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,2.0,TBD,no
Eastern Phoebe,0.8108,2.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,TBD,no
Eastern Towhee,0.5801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,36.0,5.0,TBD,no
Eastern Whip-poor-will,0.3097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,TBD,no
Eastern Wood-Pewee,0.9951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5357.0,TBD,no
Field Sparrow,0.9734,,,,,,,,,,,NA,no
Golden-crowned Kinglet,0.8060,,,,,,,,,,,NA,no
Golden-winged Warbler,0.6746,5.0,0.0,3.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,TBD,no
Grasshopper Sparrow,0.6300,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,TBD,no
Great Blue Heron,0.4827,,,,,,,,,,,NA,no
Great Crested Flycatcher,0.9859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,15.0,32.0,TBD,no
Great Egret,0.3807,,,,,,,,,,,1,yes
Great Horned Owl,0.8198,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TBD,no
Green Heron,0.3677,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TBD,no
Hairy Woodpecker,0.9797,0.0,0.0,0.0,0.0,2.0,2.0,7.0,5.0,9.0,73.0,TBD,no
Henslow's Sparrow,0.8001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,TBD,no
House Wren,0.9970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8191.0,TBD,no
Indigo Bunting,0.9929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3750.0,TBD,no
Killdeer,0.9856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,TBD,no
Lark Sparrow,0.3771,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TBD,no
Least Flycatcher,0.9984,0.0,0.0,0.0,0.0,0.0,3.0,10.0,15.0,14.0,98.0,TBD,no
Mallard,0.3481,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,TBD,no
Mourning Dove,0.9998,0.0,0.0,0.0,0.0,0.0,0.0,35.0,61.0,130.0,5483.0,TBD,no
Nashville Warbler,0.5163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TBD,no
Nelson's Sparrow,0.4893,,,,,,,,,,,NA,no
Northern Bobwhite,0.7788,,,,,,,,,,,NA,no
Northern Cardinal,0.9485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369.0,TBD,no
Northern Harrier,0.4252,,,,,,,,,,,NA,no
Northern Rough-winged Swallow,0.9156,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TBD,no
Olive-sided Flycatcher,0.9990,1.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,14.0,0.0,TBD,no
Osprey,0.7063,,,,,,,,,,,NA,no
Ovenbird,0.3166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,TBD,no
Pileated Woodpecker,0.9998,2.0,2.0,1.0,3.0,7.0,5.0,7.0,1.0,8.0,58.0,TBD,no
Prairie Warbler,0.4040,,,,,,,,,,,NA,no
Prothonotary Warbler,0.6198,,,,,,,,,,,NA,no
Purple Finch,0.8812,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,TBD,no
Purple Martin,0.5120,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TBD,no
Red-bellied Woodpecker,0.9821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,114.0,163.0,TBD,no
Red-headed Woodpecker,1.0000,67.0,55.0,43.0,55.0,40.0,73.0,66.0,98.0,153.0,284.0,TBD,no
Red-tailed Hawk,0.9851,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,TBD,no
Red-winged Blackbird,0.6946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,TBD,no
Ring-necked Pheasant,0.9885,0.0,0.0,0.0,0.0,0.0,2.0,17.0,17.0,22.0,68.0,TBD,no
Rose-breasted Grosbeak,0.9916,0.0,0.0,0.0,0.0,135.0,210.0,173.0,168.0,131.0,15.0,TBD,no
Ruby-crowned Kinglet,0.6096,,,,,,,,,,,NA,no
Ruby-throated Hummingbird,0.5811,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,TBD,no
Sandhill Crane,0.8752,10.0,6.0,9.0,5.0,2.0,2.0,3.0,7.0,0.0,4.0,TBD,no
Song Sparrow,0.9801,,,,,,,,,,,NA,no
Sora,0.4052,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,TBD,no
Swamp Sparrow,0.3385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,TBD,no
Tennessee Warbler,0.9968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,146.0,1471.0,TBD,no
Trumpeter Swan,0.9707,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TBD,no
Tufted Titmouse,0.5230,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,TBD,no
Veery,0.7946,0.0,0.0,0.0,0.0,0.0,0.0,15.0,12.0,11.0,13.0,TBD,no
Vesper Sparrow,0.4617,,,,,,,,,,,NA,no
Virginia Rail,0.3377,,,,,,,,,,,NA,no
Warbling Vireo,0.9400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.0,TBD,no
Western Kingbird,0.6160,,,,,,,,,,,NA,no
White-breasted Nuthatch,0.9986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3741.0,TBD,no
Wild Turkey,0.9999,0.0,38.0,84.0,79.0,78.0,59.0,80.0,113.0,162.0,907.0,TBD,no
Willow Flycatcher,0.7495,0.0,0.0,0.0,0.0,4.0,3.0,2.0,2.0,4.0,2.0,TBD,no
Wilson's Snipe,0.4884,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,TBD,no
Wood Duck,0.6482,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,TBD,no
Wood Thrush,0.3564,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,TBD,no
Yellow Warbler,0.7753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,31.0,3.0,TBD,no
Yellow-bellied Sapsucker,0.9892,38.0,64.0,68.0,59.0,51.0,51.0,51.0,85.0,122.0,144.0,TBD,no
Yellow-billed Cuckoo,0.9931,4.0,3.0,0.0,2.0,4.0,6.0,6.0,5.0,0.0,0.0,TBD,no
