Common Name,Confidence,"Number of Instances, 50% Confidence","Number of Instances, 55% Confidence","Number of Instances, 60% Confidence","Number of Instances, 65% Confidence","Number of Instances, 70% Confidence","Number of Instances, 75% Confidence","Number of Instances, 80% Confidence","Number of Instances, 85% Confidence","Number of Instances, 90% Confidence","Number of Instances, 95% Confidence",Total Instances,Rare
Alder Flycatcher,0.9708,4.0,1.0,2.0,0.0,6.0,2.0,1.0,8.0,6.0,39.0,TBD,no
American Bittern,0.4835,,,,,,,,,,,NA,no
American Crow,0.9802,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,32.0,116.0,TBD,no
American Goldfinch,0.9416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,35.0,226.0,TBD,no
American Robin,0.9406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,TBD,no
American Woodcock,0.9856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TBD,no
Baltimore Oriole,0.9752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.0,TBD,no
Barn Swallow,0.9280,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,8.0,TBD,no
Barred Owl,0.9088,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,TBD,no
Bell's Vireo,0.9976,50.0,46.0,42.0,61.0,65.0,92.0,116.0,190.0,450.0,204.0,TBD,no
Belted Kingfisher,0.3714,,,,,,,,,,,NA,no
Black-and-white Warbler,0.7290,0.0,1.0,6.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,TBD,no
Black-billed Cuckoo,0.9999,4.0,2.0,1.0,4.0,3.0,3.0,8.0,11.0,31.0,0.0,TBD,no
Black-crowned Night-Heron,0.9797,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,TBD,no
Blue Grosbeak,0.9312,2.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,TBD,no
Blue Jay,0.9831,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,7.0,183.0,TBD,no
Blue-winged Warbler,0.9728,33.0,25.0,16.0,15.0,19.0,11.0,16.0,13.0,9.0,9.0,TBD,no
Bobolink,0.8162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,TBD,no
Broad-winged Hawk,0.3993,,,,,,,,,,,NA,no
Brown Thrasher,0.9999,291.0,296.0,279.0,335.0,339.0,395.0,470.0,629.0,1115.0,2979.0,TBD,no
Brown-headed Cowbird,0.8159,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,8.0,10.0,TBD,no
Canada Goose,0.9577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,TBD,no
Cedar Waxwing,0.9507,0.0,0.0,0.0,0.0,0.0,1.0,6.0,8.0,7.0,14.0,TBD,no
Chimney Swift,0.4180,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,TBD,no
Common Grackle,0.8125,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,8.0,5.0,TBD,no
Common Loon,0.9365,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TBD,no
Common Nighthawk,0.9950,0.0,2.0,0.0,2.0,0.0,0.0,1.0,4.0,1.0,0.0,TBD,no
Common Raven,0.4683,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TBD,no
Common Yellowthroat,0.7685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,TBD,no
Connecticut Warbler,0.6281,,,,,,,,,,,NA,no
Cooper's Hawk,0.3014,,,,,,,,,,,NA,no
Dickcissel,0.9981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10528.0,TBD,no
Eastern Bluebird,0.9980,9.0,10.0,6.0,6.0,4.0,10.0,16.0,10.0,17.0,28.0,TBD,no
Eastern Kingbird,0.9994,0.0,0.0,0.0,0.0,0.0,0.0,54.0,88.0,127.0,207.0,TBD,no
Eastern Meadowlark,0.9999,0.0,0.0,0.0,23.0,1079.0,1046.0,1133.0,1340.0,1990.0,11664.0,TBD,no
Eastern Towhee,0.9913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,223.0,281.0,TBD,no
Eastern Whip-poor-will,0.9999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,474.0,974.0,12505.0,TBD,no
Eastern Wood-Pewee,0.7949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,TBD,no
Field Sparrow,0.9976,,,,,,,,,,,NA,no
Golden-crowned Kinglet,0.4740,,,,,,,,,,,NA,no
Golden-winged Warbler,0.5948,4.0,1.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,TBD,no
Grasshopper Sparrow,0.9990,3227.0,2817.0,2704.0,2572.0,2569.0,2640.0,2898.0,3174.0,4143.0,2740.0,TBD,no
Great Blue Heron,0.8404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TBD,no
Great Crested Flycatcher,0.9786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,14.0,TBD,no
Great Horned Owl,0.5498,,,,,,,,,,,NA,no
Hairy Woodpecker,0.9301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,TBD,no
Henslow's Sparrow,0.9998,737.0,760.0,778.0,801.0,896.0,1000.0,1111.0,1594.0,2516.0,14802.0,TBD,no
House Finch,0.5220,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TBD,no
