Common Name,Confidence,"Number of Instances, 60% Confidence","Number of Instances, 65% Confidence","Number of Instances, 70% Confidence","Number of Instances, 75% Confidence","Number of Instances, 80% Confidence","Number of Instances, 85% Confidence","Number of Instances, 90% Confidence","Number of Instances, 95% Confidence",Total Instances,Rare,List of Datetimes
Acadian Flycatcher,0.8254,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,TBD,no,"[['20250623_204800', 1], ['20250625_204800', 1], ['20250629_204800', 1]]"
American Bittern,0.5644,,,,,,,,,NA,no,NA
American Crow,0.7970,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,TBD,no,"[['20250526_061802', 1], ['20250529_071602', 6], ['20250530_071502', 1], ['20250531_051500', 1]]"
American Goldfinch,0.8987,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,TBD,no,"[['20250516_072702', 1], ['20250530_071502', 5], ['20250612_071102', 1], ['20250629_061402', 1]]"
American Kestrel,0.3815,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TBD,no,"[['20250610_204400', 1]]"
American Redstart,0.9963,0.0,0.0,0.0,0.0,0.0,0.0,2806.0,11569.0,TBD,no,"[['20250515_062802', 81], ['20250515_072802', 100], ['20250515_082802', 101], ['20250516_052700', 31], ['20250516_062702', 61], ['20250516_072702', 46], ['20250516_082702', 29], ['20250517_052600', 20], ['20250517_062602', 46], ['20250517_072602', 35], ['20250517_082602', 32], ['20250518_052500', 28], ['20250518_062502', 55], ['20250518_072502', 40], ['20250518_082502', 67], ['20250519_052400', 48], ['20250519_062402', 9], ['20250519_072402', 3], ['20250519_082402', 1], ['20250520_062302', 1], ['20250520_082302', 4], ['20250521_052200', 39], ['20250521_062202', 65], ['20250521_072202', 64], ['20250521_082202', 30], ['20250522_052100', 28], ['20250522_062102', 13], ['20250522_072102', 20], ['20250522_082102', 30], ['20250523_052100', 12], ['20250523_062102', 15], ['20250523_072102', 39], ['20250523_082102', 98], ['20250524_052000', 10], ['20250524_062002', 18], ['20250524_072002', 23], ['20250524_082002', 60], ['20250525_051900', 34], ['20250525_061902', 70], ['20250525_071902', 109], ['20250525_081902', 118], ['20250526_051800', 85], ['20250526_061802', 184], ['20250526_071802', 213], ['20250526_081802', 432], ['20250527_051700', 195], ['20250527_061702', 111], ['20250527_071702', 161], ['20250527_081702', 159], ['20250528_051700', 105], ['20250528_061702', 45], ['20250528_071702', 45], ['20250528_081702', 44], ['20250529_051600', 107], ['20250529_061602', 60], ['20250529_071602', 32], ['20250529_081602', 19], ['20250530_051500', 65], ['20250530_061502', 23], ['20250530_071502', 22], ['20250530_081502', 16], ['20250531_051500', 43], ['20250531_061502', 16], ['20250531_071502', 44], ['20250531_081502', 41], ['20250601_051400', 36], ['20250601_061402', 8], ['20250601_071402', 31], ['20250601_081402', 54], ['20250601_203700', 20], ['20250602_051400', 13], ['20250602_061402', 30], ['20250602_071402', 52], ['20250602_081402', 113], ['20250602_203800', 11], ['20250603_051300', 72], ['20250603_061302', 50], ['20250603_071302', 62], ['20250603_081302', 66], ['20250603_203900', 98], ['20250604_051300', 216], ['20250604_061302', 219], ['20250604_071302', 159], ['20250604_081302', 320], ['20250604_204000', 66], ['20250605_051200', 116], ['20250605_061202', 127], ['20250605_071202', 248], ['20250605_081202', 180], ['20250606_051200', 34], ['20250606_061202', 16], ['20250606_071202', 8], ['20250606_081202', 7], ['20250606_204100', 65], ['20250607_051200', 240], ['20250607_061202', 303], ['20250607_071202', 297], ['20250607_081202', 289], ['20250607_204200', 6], ['20250608_051100', 276], ['20250608_061102', 167], ['20250608_071102', 159], ['20250608_081102', 232], ['20250609_051100', 250], ['20250609_061102', 46], ['20250609_071102', 69], ['20250609_081102', 59], ['20250609_204300', 23], ['20250610_051100', 133], ['20250610_061102', 31], ['20250610_071102', 66], ['20250610_081102', 90], ['20250610_204400', 41], ['20250611_051100', 48], ['20250611_061102', 21], ['20250611_071102', 20], ['20250611_081102', 9], ['20250611_204400', 50], ['20250612_051100', 17], ['20250612_061102', 5], ['20250612_071102', 8], ['20250612_081102', 17], ['20250613_061102', 4], ['20250613_081102', 1], ['20250614_051000', 1], ['20250614_061002', 5], ['20250614_071002', 10], ['20250614_081002', 2], ['20250614_204600', 5], ['20250615_051000', 38], ['20250615_061002', 50], ['20250615_071002', 66], ['20250615_081002', 75], ['20250615_204600', 6], ['20250616_051000', 33], ['20250616_061002', 44], ['20250616_071002', 42], ['20250616_081002', 19], ['20250616_204700', 35], ['20250617_051100', 55], ['20250617_061102', 38], ['20250617_071102', 156], ['20250617_081102', 89], ['20250617_204700', 3], ['20250618_051100', 79], ['20250618_061102', 77], ['20250618_071102', 122], ['20250618_081102', 61], ['20250618_204700', 5], ['20250619_051100', 90], ['20250619_061102', 52], ['20250619_071102', 60], ['20250619_081102', 84], ['20250619_204800', 12], ['20250620_051100', 7], ['20250620_061102', 47], ['20250620_071102', 34], ['20250620_081102', 63], ['20250620_204800', 3], ['20250621_051100', 23], ['20250621_061102', 56], ['20250621_071102', 15], ['20250621_081102', 14], ['20250621_204800', 32], ['20250622_051100', 29], ['20250622_061102', 19], ['20250622_071102', 25], ['20250622_081102', 101], ['20250622_204800', 9], ['20250623_051200', 4], ['20250623_061202', 33], ['20250623_071202', 66], ['20250623_081202', 41], ['20250623_204800', 95], ['20250624_051200', 81], ['20250624_061202', 118], ['20250624_071202', 97], ['20250624_081202', 266], ['20250624_204800', 62], ['20250625_051200', 16], ['20250625_061202', 24], ['20250625_071202', 26], ['20250625_081202', 14], ['20250625_204800', 17], ['20250626_051300', 51], ['20250626_061302', 103], ['20250626_071302', 136], ['20250626_081302', 40], ['20250626_204800', 4], ['20250627_051300', 54], ['20250627_061302', 52], ['20250627_071302', 172], ['20250627_081302', 221], ['20250627_204800', 17], ['20250628_051400', 91], ['20250628_061402', 111], ['20250628_071402', 167], ['20250628_081402', 74], ['20250629_051400', 90], ['20250629_061402', 134], ['20250629_071402', 126], ['20250629_081402', 130], ['20250629_204800', 12], ['20250630_051500', 97], ['20250630_061502', 66], ['20250630_071502', 47], ['20250630_081502', 45], ['20250630_204800', 10]]"
American Robin,0.9402,0.0,0.0,0.0,0.0,0.0,0.0,34.0,107.0,TBD,no,"[['20250516_052700', 22], ['20250516_062702', 19], ['20250519_052400', 1], ['20250528_081702', 2], ['20250529_071602', 5], ['20250601_203700', 1], ['20250603_061302', 2], ['20250603_203900', 8], ['20250607_204200', 5], ['20250609_204300', 2], ['20250610_204400', 17], ['20250611_204400', 1], ['20250613_204500', 4], ['20250617_051100', 1], ['20250617_204700', 2], ['20250617_214702', 1], ['20250618_061102', 1], ['20250618_204700', 3], ['20250621_204800', 2], ['20250621_214802', 1], ['20250624_204800', 10], ['20250626_061302', 1], ['20250627_071302', 3], ['20250629_204800', 16], ['20250629_214802', 2], ['20250630_204800', 9]]"
American Woodcock,0.8385,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,TBD,no,"[['20250613_081102', 1], ['20250624_204800', 1], ['20250627_214802', 1]]"
Bald Eagle,0.9342,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,TBD,no,"[['20250517_062602', 1]]"
Baltimore Oriole,0.9866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.0,TBD,no,"[['20250515_062802', 4], ['20250515_072802', 1], ['20250515_082802', 1], ['20250516_052700', 2], ['20250516_062702', 5], ['20250516_072702', 8], ['20250516_082702', 9], ['20250518_062502', 3], ['20250518_072502', 16], ['20250518_082502', 5], ['20250521_052200', 7], ['20250521_062202', 20], ['20250521_072202', 33], ['20250522_052100', 1], ['20250522_072102', 3], ['20250522_082102', 25], ['20250523_062102', 1], ['20250523_072102', 11], ['20250524_062002', 1], ['20250524_072002', 5], ['20250524_082002', 2], ['20250525_051900', 4], ['20250525_061902', 1], ['20250526_051800', 10], ['20250526_071802', 15], ['20250526_081802', 2], ['20250527_051700', 3], ['20250527_061702', 4], ['20250527_081702', 2], ['20250528_051700', 4], ['20250528_061702', 1], ['20250528_081702', 1], ['20250529_051600', 4], ['20250529_061602', 5], ['20250529_081602', 3], ['20250530_081502', 1], ['20250531_061502', 1], ['20250531_071502', 1], ['20250602_051400', 1], ['20250603_071302', 1], ['20250603_081302', 2], ['20250603_203900', 2], ['20250604_061302', 1], ['20250604_071302', 1], ['20250605_051200', 1], ['20250605_071202', 2], ['20250605_081202', 1], ['20250606_204100', 1], ['20250608_061102', 1], ['20250608_081102', 1], ['20250609_081102', 3], ['20250610_071102', 2], ['20250610_081102', 2], ['20250611_051100', 2], ['20250612_061102', 1], ['20250614_081002', 2], ['20250615_071002', 1], ['20250617_071102', 2], ['20250617_081102', 1], ['20250618_081102', 8], ['20250619_071102', 1], ['20250619_081102', 2], ['20250620_204800', 1], ['20250621_071102', 1], ['20250622_081102', 1], ['20250622_204800', 1], ['20250623_071202', 1], ['20250623_081202', 1], ['20250625_204800', 1], ['20250626_071302', 1], ['20250627_061302', 1], ['20250629_204800', 1]]"
