Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Begin File,Valid,Common Name,Site Number,WAV File
62,Waveform 1,1,305.000000000,310.000000000,0.000,12000.000,0.484_16_2MM09500_20250605_051200_1047.00s_1050.00s.wav,1,Common Merganser,09500,2MM09500_20250605_051200_1047.0
62,Spectrogram 1,1,305.000000000,310.000000000,0.000,12000.000,0.484_16_2MM09500_20250605_051200_1047.00s_1050.00s.wav,1,Common Merganser,09500,2MM09500_20250605_051200_1047.0
81,Waveform 1,1,400.000000000,405.000000000,0.000,12000.000,0.558_1_2MM09490_20250615_081002_1218.00s_1221.00s.wav,1,Common Merganser,09490,2MM09490_20250615_081002_1218.0
81,Spectrogram 1,1,400.000000000,405.000000000,0.000,12000.000,0.558_1_2MM09490_20250615_081002_1218.00s_1221.00s.wav,1,Common Merganser,09490,2MM09490_20250615_081002_1218.0
84,Waveform 1,1,415.000000000,420.000000000,0.000,12000.000,0.567_2_2MM09474_20250619_081102_525.00s_528.00s.wav,1,Common Merganser,09474,2MM09474_20250619_081102_525.0
84,Spectrogram 1,1,415.000000000,420.000000000,0.000,12000.000,0.567_2_2MM09474_20250619_081102_525.00s_528.00s.wav,1,Common Merganser,09474,2MM09474_20250619_081102_525.0
1,Waveform 1,1,0.000000000,5.000000000,0.0,12000.0,0.325_21_2MM09403_20250618_204700_2130.00s_2133.00s.wav,1,Turkey Vulture,09403,2MM09403_20250618_204700_2130.0
1,Spectrogram 1,1,0.000000000,5.000000000,0.0,12000.0,0.325_21_2MM09403_20250618_204700_2130.00s_2133.00s.wav,1,Turkey Vulture,09403,2MM09403_20250618_204700_2130.0
2,Waveform 1,1,5.000000000,10.000000000,0.0,12000.0,0.398_23_2MM09403_20250618_204700_1992.00s_1995.00s.wav,1,Turkey Vulture,09403,2MM09403_20250618_204700_1992.0
2,Spectrogram 1,1,5.000000000,10.000000000,0.0,12000.0,0.398_23_2MM09403_20250618_204700_1992.00s_1995.00s.wav,1,Turkey Vulture,09403,2MM09403_20250618_204700_1992.0
3,Waveform 1,1,10.000000000,15.000000000,0.0,12000.0,0.442_22_2MM09403_20250618_204700_2172.00s_2175.00s.wav,1,Turkey Vulture,09403,2MM09403_20250618_204700_2172.0
3,Spectrogram 1,1,10.000000000,15.000000000,0.0,12000.0,0.442_22_2MM09403_20250618_204700_2172.00s_2175.00s.wav,1,Turkey Vulture,09403,2MM09403_20250618_204700_2172.0
77,Waveform 1,1,380.000000000,385.000000000,0.000,12000.000,0.530_2_2MM09403_20250617_051100_363.00s_366.00s.wav,1,Eastern Screech-Owl,09403,2MM09403_20250617_051100_363.0
77,Spectrogram 1,1,380.000000000,385.000000000,0.000,12000.000,0.530_2_2MM09403_20250617_051100_363.00s_366.00s.wav,1,Eastern Screech-Owl,09403,2MM09403_20250617_051100_363.0
79,Waveform 1,1,390.000000000,395.000000000,0.000,12000.000,0.543_2_2MM09403_20250526_051800_1374.00s_1377.00s.wav,1,Eastern Screech-Owl,09403,2MM09403_20250526_051800_1374.0
79,Spectrogram 1,1,390.000000000,395.000000000,0.000,12000.000,0.543_2_2MM09403_20250526_051800_1374.00s_1377.00s.wav,1,Eastern Screech-Owl,09403,2MM09403_20250526_051800_1374.0
93,Waveform 1,1,460.000000000,465.000000000,0.000,12000.000,0.609_2_2MM09403_20250618_204700_1887.00s_1890.00s.wav,1,Eastern Screech-Owl,09403,2MM09403_20250618_204700_1887.0
93,Spectrogram 1,1,460.000000000,465.000000000,0.000,12000.000,0.609_2_2MM09403_20250618_204700_1887.00s_1890.00s.wav,1,Eastern Screech-Owl,09403,2MM09403_20250618_204700_1887.0
117,Waveform 1,1,580.000000000,585.000000000,0.000,12000.000,0.678_1_2MM09430_20250522_052100_129.00s_132.00s.wav,1,Eastern Screech-Owl,09430,2MM09430_20250522_052100_129.0
117,Spectrogram 1,1,580.000000000,585.000000000,0.000,12000.000,0.678_1_2MM09430_20250522_052100_129.00s_132.00s.wav,1,Eastern Screech-Owl,09430,2MM09430_20250522_052100_129.0
128,Waveform 1,1,635.000000000,640.000000000,0.000,12000.000,0.712_2_2MM09403_20250611_061102_408.00s_411.00s.wav,1,Eastern Screech-Owl,09403,2MM09403_20250611_061102_408.0
128,Spectrogram 1,1,635.000000000,640.000000000,0.000,12000.000,0.712_2_2MM09403_20250611_061102_408.00s_411.00s.wav,1,Eastern Screech-Owl,09403,2MM09403_20250611_061102_408.0
131,Waveform 1,1,650.000000000,655.000000000,0.000,12000.000,0.743_1_2MM09430_20250602_051400_2826.00s_2829.00s.wav,1,Eastern Screech-Owl,09430,2MM09430_20250602_051400_2826.0
131,Spectrogram 1,1,650.000000000,655.000000000,0.000,12000.000,0.743_1_2MM09430_20250602_051400_2826.00s_2829.00s.wav,1,Eastern Screech-Owl,09430,2MM09430_20250602_051400_2826.0
140,Waveform 1,1,695.000000000,700.000000000,0.000,12000.000,0.765_1_2MM09430_20250528_061702_765.00s_768.00s.wav,1,Eastern Screech-Owl,09430,2MM09430_20250528_061702_765.0
140,Spectrogram 1,1,695.000000000,700.000000000,0.000,12000.000,0.765_1_2MM09430_20250528_061702_765.00s_768.00s.wav,1,Eastern Screech-Owl,09430,2MM09430_20250528_061702_765.0
165,Waveform 1,1,820.000000000,825.000000000,0.000,12000.000,0.861_1_2MM09449_20250610_213902_987.00s_990.00s.wav,1,Eastern Screech-Owl,09449,2MM09449_20250610_213902_987.0
165,Spectrogram 1,1,820.000000000,825.000000000,0.000,12000.000,0.861_1_2MM09449_20250610_213902_987.00s_990.00s.wav,1,Eastern Screech-Owl,09449,2MM09449_20250610_213902_987.0
176,Waveform 1,1,875.000000000,880.000000000,0.000,12000.000,0.913_1_2MM16601_20250606_204500_2580.00s_2583.00s.wav,1,Eastern Screech-Owl,16601,2MM16601_20250606_204500_2580.0
176,Spectrogram 1,1,875.000000000,880.000000000,0.000,12000.000,0.913_1_2MM16601_20250606_204500_2580.00s_2583.00s.wav,1,Eastern Screech-Owl,16601,2MM16601_20250606_204500_2580.0
184,Waveform 1,1,915.000000000,920.000000000,0.000,12000.000,0.939_2_2MM09430_20250531_051500_108.00s_111.00s.wav,1,Eastern Screech-Owl,09430,2MM09430_20250531_051500_108.0
184,Spectrogram 1,1,915.000000000,920.000000000,0.000,12000.000,0.939_2_2MM09430_20250531_051500_108.00s_111.00s.wav,1,Eastern Screech-Owl,09430,2MM09430_20250531_051500_108.0
195,Waveform 1,1,970.000000000,975.000000000,0.000,12000.000,0.983_2_2MM09430_20250528_061702_243.00s_246.00s.wav,1,Eastern Screech-Owl,09430,2MM09430_20250528_061702_243.0
